Rank,Movie,Studio,Worldwide,Domestic,Overseas
1,Transformers: Age of Extinction,Par.,1087.4,245.4,842
2,The Hobbit: The Battle of the Five Armies,WB,783.5,238.2,545.3
3,Guardians of the Galaxy,BV,772.7,333.1,439.6
4,Maleficent,BV,757.8,241.4,516.3
5,X-Men: Days of Future Past,Fox,748.1,233.9,514.2
6,Captain America: The Winter Soldier,BV,714.1,259.8,454.3
7,The Amazing Spider-Man 2,Sony,709,202.9,506.1
8,Dawn of the Planet of the Apes,Fox,708.8,208.5,500.3
9,The Hunger Games: Mockingjay - Part 1,LGF,706.1,330.1,375.9
10,Interstellar,Par.,662.4,185,477.4
11,How to Train Your Dragon 2,Fox,618.9,177,441.9
12,Godzilla (2014),WB,528.7,200.7,328
13,Rio 2,Fox,500.2,131.5,368.7
14,Teenage Mutant Ninja Turtles (2014),Par.,477.2,191.2,286
15,The LEGO Movie,WB,468.8,257.8,211
16,Lucy,Uni.,458.9,126.7,332.2
17,Big Hero 6,BV,409.3,214.8,194.5
18,Edge of Tomorrow,WB,369.2,100.2,269
19,Gone Girl,Fox,365.4,167.2,198.2
20,Noah,Par.,362.6,101.2,261.4
21,The Maze Runner,Fox,340.7,102.3,238.3
22,300: Rise of An Empire,WB,337.6,106.6,231
23,22 Jump Street,Sony,331.3,191.7,139.6
24,The Fault in our Stars,Fox,304.9,124.9,180
25,Divergent,LG/S,288.7,150.9,137.8
26,Penguins of Madagascar,Fox,286.6,80,206.6
27,Mr. Peabody & Sherman,Fox,272.9,111.5,161.4
28,Neighbors,Uni.,268.2,150.2,118
29,Annabelle,WB (NL),255.3,84.3,171
30,Night at the Museum: Secret of the Tomb,Fox,247.6,100.3,147.3
